ExDate,Amount
2010-02-25,0.05
2010-05-27,0.05
2010-08-30,0.05
2010-11-29,0.05
2011-02-25,0.1
2011-05-27,0.1
2011-08-30,0.1
2011-11-29,0.1
2012-03-01,0.1
2012-05-30,0.1
2012-08-30,0.1
2012-11-29,0.1
2013-03-07,0.1
2013-05-30,0.1
2013-08-29,0.15
2013-11-27,0.15
2014-03-06,0.15
2014-05-29,0.15
2014-08-28,0.18
2014-11-26,0.18
2015-03-05,0.18
2015-05-28,0.18
2015-08-28,0.21
2015-11-27,0.21
2016-03-03,0.21
2016-05-27,0.21
2016-08-30,0.21
2016-11-29,0.23
2017-03-02,0.23
2017-05-30,0.23
2017-08-30,0.23
2017-11-30,0.25
2018-03-02,0.25
2018-05-31,0.25
2018-08-31,0.3
2018-11-30,0.3
2019-03-01,0.3
2019-05-31,0.3
2019-08-30,0.3
2019-11-29,0.3
2020-02-28,0.325
2020-05-29,0.325
2020-08-31,0.325
2020-11-30,0.325
2021-02-26,0.35
2021-05-28,0.35
2021-08-31,0.35
2021-11-30,0.385
2022-02-28,0.385
2022-05-31,0.385
2022-08-31,0.385
2022-11-30,0.425
2023-03-03,0.425
2023-05-31,0.425
2023-08-31,0.425
2023-11-30,0.47
